Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Abdin, Yasmine",An integrated approach toward digital design and structural integrity analysis of out-of-autoclave composites under fatigue loading,"12,500",2022-2023,Discovery Launch Supplement
"Abdin, Yasmine",An integrated approach toward digital design and structural integrity analysis of out-of-autoclave composites under fatigue loading,"28,000",2022-2023,Discovery Grants Program - Individual
"Abdin, YasmineYA",Graphene-enhanced natural fiber reinforced composites for protective footwear and other high-performance applications,"58,742",2022-2023,Alliance Grants
"AbdulMageed, Muhammad",Enabling Deep Learning for Multilingual Sociopragmatics,"28,000",2022-2023,Discovery Grants Program - Individual
"Abolmaesumi, Purang",Towards New Frontiers in Computer Assisted Image Guidance with Next Generation Point of Care Ultrasound,"128,000",2022-2023,Discovery Grants Program - Individual
"Abolmaesumi, PurangP",Next generation machine learning technologies for democratizing healthcare through point of care ultrasound,"99,000",2022-2023,Alliance Grants
"Abolmaesumi, PurangP",Rising from the pandemic: Towards sustainable development of machine learning technologies for point-of-care Ultrasound Imaging,"276,500",2022-2023,Alliance Grants
"Abolmaesumi, PurangP",Next Generation Micro-ultrasound Technology for Detection and Monitoring of Prostate Cancer,"84,850",2022-2023,Collaborative Health Research Projects
"Abraham, Ninan",Protein Translation Control of Cytokine Receptors,"64,000",2022-2023,Discovery Grants Program - Individual
"Ackroyd, AmandaJ",Governing nanoparticle self-assembly over length scales,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Adaji, Ifeoma",Developing personalized persuasive technologies using an adaptive and data-driven approach,"12,500",2022-2023,Discovery Launch Supplement
"Adaji, Ifeoma",Developing personalized persuasive technologies using an adaptive and data-driven approach,"25,000",2022-2023,Discovery Grants Program - Individual
"Adaji, IfeomaAI",A Systematic Review of Behaviour Change Technologies for Influencing Healthy Nutrition,"25,000",2022-2023,Alliance Grants
"Adams, Keith",Alternative Splicing of Duplicated Genes in Polyploid Brassica napus,"65,000",2022-2023,Discovery Grants Program - Individual
"Agostino, MadeleineMA",Multifunctional borylenes for catalytic reactions,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ainslie, Philip",MECHANISMS OF HUMAN CEREBRAL BLOOD FLOW REGULATION IN ACUTE AND LIFELONG HYPOXIA IN LOWLANDERS AND INDIGENOUS POPULATIONS,"55,000",2022-2023,Discovery Grants Program - Individual
"AinsworthCruickshank, GarrettGRJ",Characterizing the Gut Microbiome response to Prenatal Alcohol Exposure in Rats,"6,000",2022-2023,University Undergraduate Student Research Awards
"Aitken, Sally",Capacity of conifer populations for climate adaptation,"55,000",2022-2023,Discovery Grants Program - Individual
"Alam, Shahria",Novel and Emerging Technologies for Sustainable and Seismically Resilient Infrastructure,"43,000",2022-2023,Discovery Grants Program - Individual
"Alam, ShahriaS",Advancing the Seismic Design Practices of Concrete Bridge Piers Reinforced with High Strength Steel Rebars,"44,000",2022-2023,Alliance Grants
"Alam, ShahriaS",Developing seismic design guidelines for pallet racks,"40,000",2022-2023,Alliance Grants
"Alam, ShahriaS",Performance-based design of bridge retrofitting with novel techniques considering life-cycle analysis,"144,000",2022-2023,Alliance Grants
"Alam, ShahriaS",Seismic performance improvement of buildings with self-centering bracings,"72,000",2022-2023,Alliance Grants
"Alam, ShahriaS",Sustainable recycled wood ash-based mortar and concrete from production to large-scale application,"36,000",2022-2023,Alliance Grants
"AlDabbagh, Ahmad",Resilient Control Systems for Industrial Process Automation,"12,500",2022-2023,Discovery Launch Supplement
"AlDabbagh, Ahmad",Resilient Control Systems for Industrial Process Automation,"29,000",2022-2023,Discovery Grants Program - Individual
"AlDabbagh, AhmadA",Toward resilient operation of large-scale systems,"25,000",2022-2023,Alliance Grants
"Alde, LuisGabrielGanzonLGG",Functionalization of Silicon Photonic Resonators,"6,000",2022-2023,University Undergraduate Student Research Awards
"Algar, WRuss",Bio/Chemical Sensing,"100,000",2022-2023,Canada Research Chairs
"Algar, WRuss",Developing New Tools for Bioanalysis and Imaging Using Advanced Fluorescent Materials,"48,000",2022-2023,Discovery Grants Program - Individual
"Allan, Douglas",Protein translation control of organism development,"42,000",2022-2023,Discovery Grants Program - Individual
"Allen, Susan",Changes in coastal oceanography over decades and longer: Combining dynamics and downscaling,"51,000",2022-2023,Discovery Grants Program - Individual
"Alsamouly, AlyA",High-performance Shear Connector for Tall Mass Timber Buildings: Development of Strength and Stiffness Design Equations,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"alShaibah, Arig",University of British Columbia Application to EDI Stipend,"19,500",2022-2023,Canada Research Chair EDI Stipend
"Altintas, YusufY",NSERC/P&WC Industrial Research Chair in Virtual High Performance Machining,"160,000",2022-2023,Industrial Research Chairs
"Altshuler, Douglas",Physiological and biomechanical mechanisms of animal maneuverability,"55,000",2022-2023,Discovery Grants Program - Individual
"Amadi, VaniaVC",Network configuration of a plastic bottle closed-loop supply chain for post-COVID-19 recovery,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ameli, Ali",Understanding the hydrologic function of catchments and identifying catchment streamflow sensitivity to climate change,"35,000",2022-2023,Discovery Grants Program - Individual
"Andersen, Raymond",Bioactivity Guided Marine Natural Product Discovery Using Phenotypic Assays,"96,000",2022-2023,Discovery Grants Program - Individual
"Anderson, IraleighID",Biogeographic Investigation of Disjunct Northern Soapweed and Yucca Moth Populations.,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
