Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects
,,,,,
Applicant,Administrating Organization,Title of project,Amount ($),Fiscal Year,Program Code
"Abdul-Mageed, Muhammad",The University of British Columbia,Natural Language Processing and Informatics,"$120,000.00",2022-2023,950
"Achar, Jerry C.",The University of British Columbia,Making sense of human health risks of chemicals of emerging concerns for policy under conditions of uncertainty: A study of PFOS and PFOA in drinking water in Canada,"$50,000.00",2022-2023,770
ACME: An International Journal for Critical Geographies,The University of British Columbia,ACME: An International Journal for Critical Geographies / ACME: Revue internationale de géographie critique,"$29,400.00",2022-2023,651
"Adamic, Elyse",The University of British Columbia,Fishery Regulations and Income Inequality: Evidence from Individual Transferable Quotas in Canada,"$20,000.00",2022-2023,752
"Addison, Jackie M.",The University of British Columbia,(Re)Creating Saulteaux Ways of Knowing and Being through Artistic Practices,"$17,500.00",2022-2023,766
"Affolder, Natasha A.",The University of British Columbia,Contagious Lawmaking: How Environmental Law Moves and Why it Matters,"$49,663.00",2022-2023,435
"Afreen, Asma",The University of British Columbia,Teaching Bangla as a Heritage Language in the COVID Era,"$20,000.00",2022-2023,752
"Agarwal, Isha",The University of British Columbia,Banks as Secret Keepers: Evidence from the Opacity Discount,"$18,938.00",2022-2023,430
"Agarwal, Isha",The University of British Columbia,Cross-border financial technology diffusion: evidence from mobile banking,"$20,600.00",2022-2023,435
"Ahmed, Rumee",The University of British Columbia,Theology and Ethics,"$200,000.00",2022-2023,950
"al Shaibah, Arig",The University of British Columbia,University of British Columbia Application to EDI Stipend,"$11,000.00",2022-2023,953
"Alaica, Aleksa",The University of British Columbia,"From the mountains to the sea: Animal management, sustainability and colonization in southern Peru in the 1st millennium CE","$67,500.00",2022-2023,430
"Algar, W Russ",The University of British Columbia,Cell-Based Medical Diagnostic Testing on a Smartphone for Low-Resource Communities,"$125,000.00",2022-2023,940
"Alkawaja Livermore, Maram",The University of British Columbia,The Social-Emotional Trajectories from Kindergarten to Adolescence: A Population-Level Analysis of Developmental Vulnerability and Emotional Wellbeing,"$35,000.00",2022-2023,767
"Allard, Dane T.",The University of British Columbia,"""Our people displayed their unity"": Métis identities and political organizing in British Columbia","$35,000.00",2022-2023,767
"Anderson, Delaney E.",The University of British Columbia,Tracing the Movement of Meaning: Uncovering Republished Fiction from the Nineteenth-Century Periodical Press,"$17,500.00",2022-2023,766
"Anderson, Lea M.",The University of British Columbia,The Good Life and Social Influence: A Discursive Analysis of Values and Consumption,"$17,500.00",2022-2023,766
"Anderson, Siwan",The University of British Columbia,Unbundling Female Empowerment,"$50,200.00",2022-2023,435
"Antwi, Phanuel",The University of British Columbia,Black Arts and Epistemologies,"$95,000.00",2022-2023,950
"Arbel, Efrat",The University of British Columbia,Understanding Race and Racism in Immigration Detention ,"$77,136.00",2022-2023,936
"Arbel, Efrat A.",The University of British Columbia,Rethinking Human Rights in Immigration Detention: Towards a Trauma-Informed Approach,"$69,781.00",2022-2023,435
"Ardestanijaafari, Amir",The University of British Columbia,Post Pandemic Supply Chain Recovery,"$25,236.00",2022-2023,430
"Ardila, Lizeth",The University of British Columbia,"The Right to Food: Urban Agriculture as Medium to Foster Food Sovereignty, Decolonization, and Community Building in Winnipeg","$17,500.00",2022-2023,766
"Armstrong, Jeannette C",The University of British Columbia,"Canada Research Chair in Okanagan Indigenous 
Knowledge and Philosophy","$100,000.00",2022-2023,950
"Arneil, Barbara",The University of British Columbia,The Colonies of Benevolence in International Context,"$18,319.00",2022-2023,611
"Arneil, Barbara",The University of British Columbia,The Past and Present of Domestic Colonialism and Organic Politics,"$12,176.00",2022-2023,435
"Arriagada, Evelyn",The University of British Columbia,Performing gender through contested waters: Becoming female water activists in Chile,"$50,000.00",2022-2023,770
"Ashe, Maureen",The University of British Columbia,The View from Here: Social Prescribing in Canada,"$39,000.00",2022-2023,430
Azim Shariff,The University of British Columbia,Canada 150 Research Chair in Moral Psychology,"$350,000.00",2022-2023,952
"Badir, Patricia",The University of British Columbia,"Settling Shakespeare: Bardolatry in British Columbia, 1916-2022","$19,765.00",2022-2023,430
"Badir, Patricia L.",The University of British Columbia,What's Past is Prologue: Mobilizing the UBC First Folio,"$24,860.00",2022-2023,611
"Bailie, Krista M.",The University of British Columbia,"Beyond Feminism: Post-identity selfhood and performance art in East Germany, 1974-1989","$10,000.00",2022-2023,752
"Baines, Donna C.O.",The University of British Columbia,"Building Emancipatory Practice and Theory: Indigenous and Anti-Oppressive Perspectives in International, Decolonizing Dialogue","$91,869.00",2022-2023,435
"Bajakian, Aram",The University of British Columbia,Navigating nostalgias: Musical identities in the Armenian diaspora,"$35,000.00",2022-2023,767
