"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
67,"2-photon scanning microscope for imaging of fluorescent signals from single cells within thick living tissues","Innovation Fund","Institutional Innovation Fund under $350,000","Timothy Murphy","Kerry Delaney, Edwin Moore, Timothy Murphy","British Columbia",Vancouver,University,"The University of British Columbia","Simon Fraser University","Rehabilitation medicine","2-photon, NMDA, calcium, imaging, synapse, E-C coupling, ryanodine, confocal, neurophysiology, deconvolution",1998,13-Oct-98,$120017
1231,"ABI Prism 7700 Sequence Detection System","Innovation Fund","Institutional Innovation Fund under $350,000","Christopher Mcintosh","Roger Brownsey, Christopher Mcintosh, Raymond Pederson, Ivan Sadowski, Frank Tufaro","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Endocrinology, gastroenterology, G-protein coupled receptors, cloning, molecular biology, PCR, HPLC",1998,13-Oct-98,$62294
1108,"Advanced Wood Processing Systems Laboratory","Innovation Fund","Institutional Innovation Fund under $350,000","Thomas Maness","Patrick Cramond, Simon Ellis, Kai Herdeg, Thomas Maness, Gary Schajer, Darrell Wong","British Columbia",Vancouver,University,"The University of British Columbia",,"Industrial, systems and processes engineering","Manufacturing, Optimization, Systems Analysis, Machining, Wood Products, Process Control",1998,13-Oct-98,$139600
319,"AMPEL Nanofabrication Facility","Innovation Fund","Institutional Innovation Fund under $350,000","Jeff Young","Douglas Bonn, Walter Hardy, Michael Jackson, Nicolas Jaeger, Elmer Ogryzlo, Brian Turrell, Jeff Young","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","nanostructures, microfabrication, electronics, optoelectronics, superconductors, semiconductors, devices, materials, processing",1998,13-Oct-98,$176690
755,"An experimental Distribution systems facility to support software engineering research","John R. Evans Leaders Fund","New Opportunities Fund","Gail Murphy","Michael Feeley, Alan Hu, Gail Murphy","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","software engineering, distribution system, verification, assesment, prediction, system structure, performance",1998,6-Aug-98,$101800
645,"Aquatic-terrestrial ecosystem research in the UBC Research Forest at Maple Ridge","Innovation Fund","Institutional Innovation Fund under $350,000","Michael Feller","Michael Feller","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","streamflow, aquatic ecosystem, streamwater chemistry, turbidity, silviculture",1998,13-Oct-98,$33600
60,"Celegans Reverse Genetics Core Facility","Innovation Fund","Institutional Innovation Fund under $350,000","Ann Rose","David Baillie, Peter Candido, Shoukat Dedhar, Frank Jirik, Robert Kay, Douglas Kilburn, Donald Moerman, Ann Rose, Terrance Snutch, Steven Vincent","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"C.Elegans, mutation, genomics, evolution, chromosome organization, model organism, molecular genetics, disease genes",1998,13-Oct-98,$118285
758,"Cell Adhesion and Signal Transduction","John R. Evans Leaders Fund","New Opportunities Fund","Calvin Roskelley","Calvin Roskelley","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Tissue engineering, neoplasia, molecular biology, cell biology, biomaterials, gene expression",1998,6-Aug-98,$46000
735,"Centre for Industrial Minerals Innovations","John R. Evans Leaders Fund","New Opportunities Fund","Bernhard Klein","Bernhard Klein, Marcello Veiga","British Columbia",Vancouver,University,"The University of British Columbia",,"Mining engineering","Industrial minerals, mining, mineral processing, engineered minerals, property valuation, pigments, fillers, materials engineering",1998,6-Aug-98,$100386
771,"Centre of Excellence in Computer-Aided Resource Decision-Support","John R. Evans Leaders Fund","New Opportunities Fund","Stephen Sheppard","Kellogg Booth, John Danahy, Peter Murtha, Stephen Sheppard","British Columbia",Vancouver,University,"The University of British Columbia",,"Geomatics and earth systems observations","GIS; Visualization, computer animation, virtual reality, natural resource planning, integrated resource mangement, forestry, interdisciplinary studies",1998,6-Aug-98,$195320
